Category 1,Category  2,Product Name,Product Style,Product Description,ADV Image 1,ADV Image 2,SKU,Image,Short Description,Barcode,Size,Material,Color,Icon 1,Icon 2,Icon 3,Price
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB346F-48M",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB346F-48M,S_WMB354F-48P.jpg,"48""Hx48""W Majestic Flush 3 Rail Montage Single Gate Black",11251,"48""Hx48""W ",,,,,,274.62
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB346F-60M",variation, Res Majestic Flush 3R Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB346F-60M,S_WMB354F-48P.jpg,"48""Hx60""W Res Majestic Flush 3R Montage Single Gate Black",11252,"48""Hx60""W ",,,,,,449.63
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB346F-72M",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB346F-72M,S_WMB354F-48P.jpg,"48""Hx72""W Majestic Flush 3 Rail Montage Single Gate Black",11253,"48""Hx72""W ",,,,,,375.93
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB346F-84",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB346F-84,S_WMB354F-48P.jpg,"48""Hx84""W Majestic Flush 3 Rail Montage Single Gate Black",11254,"48""Hx84""W ",,,,,,440.56
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB346F-96",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB346F-96,S_WMB354F-48P.jpg,"48""Hx96""W Majestic Flush 3 Rail Montage Single Gate Black",11255,"48""Hx96""W ",,,,,,442.13
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB346F-42M",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB346F-42M,S_WMB354F-48P.jpg,"48""Hx36""W Majestic Flush 3 Rail Montage Single Gate Black",11256,"48""Hx36""W ",,,,,,273.56
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB354F-60P",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB354F-60P,S_WMB354F-48P.jpg,"54""Hx60""W Majestic Flush 3 Rail Montage Single Gate Black",11257,"54""Hx60""W ",,,,,,533.82
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB354F-72P",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB354F-72P,S_WMB354F-48P.jpg,"54""Hx72""W Majestic Flush 3 Rail Montage Single Gate Black",11258,"54""Hx72""W ",,,,,,535.88
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB354F-84",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB354F-84,S_WMB354F-48P.jpg,"54""Hx84""W Majestic Flush 3 Rail Montage Single Gate Black",11259,"54""Hx84""W ",,,,,,483.79
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB354F-48P",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB354F-48P,S_WMB354F-48P.jpg,"54""Hx48""W Majestic Flush 3 Rail Montage Single Gate Black",11260,"54""Hx48""W ",,,,,,406.27
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB354F-42P",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB354F-42P,S_WMB354F-48P.jpg,"54""Hx36""W Majestic Flush 3 Rail Montage Single Gate Black",11261,"54""Hx36""W ",,,,,,405.22
,,"Ornamental Steel 3 Rail Single Gate - Ameristar Montage Majestic - Black, WMB354F-96",variation, Majestic Flush 3 Rail Montage Single Gate Black,S_WMB354F-48P.jpg,,WMB354F-96,S_WMB354F-48P.jpg,"54""Hx96""W Majestic Flush 3 Rail Montage Single Gate Black",11262,"54""Hx96""W ",,,,,,462.29
,,"Ornamental Steel 3 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB346F-42AM",variation, Majestic Flush 3 Rail Montage Arched Gate Black,S_1WMB346F-48A.jpg,,WMB346F-42AM,S_1WMB346F-48A.jpg,"48""Hx36""W Majestic Flush 3 Rail Montage Arched Gate Black",11264,"48""Hx36""W ",,,,,,328.28
,,"Ornamental Steel 3 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB346F-48AM",variation, Res Majestic Flush 3R Montage Arched Gate Black,S_1WMB346F-48A-1.jpg,,WMB346F-48AM,S_1WMB346F-48A-1.jpg,"48""Hx48""W Res Majestic Flush 3R Montage Arched Gate Black",11265,"48""Hx48""W ",,,,,,411.54
,,"Ornamental Steel 3 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB346F-72AM",variation, Majestic Flush 3 Rail Montage Arched Gate Black,S_1WMB346F-48A.jpg,,WMB346F-72AM,S_1WMB346F-48A.jpg,"48""Hx72""W Majestic Flush 3 Rail Montage Arched Gate Black",11266,"48""Hx72""W ",,,,,,451.12
,,"Ornamental Steel 3 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB346F-60AM",variation, Majestic Flush 3 Rail Montage Arched Gate Black,S_1WMB346F-48A.jpg,,WMB346F-60AM,S_1WMB346F-48A.jpg,"48""Hx60""W Majestic Flush 3 Rail Montage Arched Gate Black",11267,"48""Hx60""W ",,,,,,448.66
,,"Ornamental Steel 3 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB354F-72AP",variation, Majestic Flush 3 Rail Montage Arched Gate Black,S_1WMB346F-48A.jpg,,WMB354F-72AP,S_1WMB346F-48A.jpg,"54""Hx72""W Majestic Flush 3 Rail Montage Arched Gate Black",11268,"54""Hx72""W ",,,,,,598.14
,,"Ornamental Steel 3 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB354F-60AP",variation, Majestic Flush 3 Rail Montage Arched Gate Black,S_1WMB346F-48A.jpg,,WMB354F-60AP,S_1WMB346F-48A.jpg,"54""Hx60""W Majestic Flush 3 Rail Montage Arched Gate Black",11269,"54""Hx60""W ",,,,,,595.67
,,"Ornamental Steel 3 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB354F-48AP",variation, Majestic Flush 3 Rail Montage Arched Gate Black,S_1WMB346F-48A.jpg,,WMB354F-48AP,S_1WMB346F-48A.jpg,"54""Hx48""W Majestic Flush 3 Rail Montage Arched Gate Black",11270,"54""Hx48""W ",,,,,,442.62
,,"Ornamental Steel 3 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB354F-42AP",variation, Majestic Flush 3 Rail Montage Arched Gate Black,S_1WMB346F-48A.jpg,,WMB354F-42AP,S_1WMB346F-48A.jpg,"54""Hx36""W Majestic Flush 3 Rail Montage Arched Gate Black",11271,"54""Hx36""W ",,,,,,441.34
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB346F-144MD",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB346F-144MD,S_WMB354F-120MD.jpg,"48""Hx144""W Majestic Flush 3 Rail Montage Double Gate Black",11273,"48""Hx144""W ",,,,,,886.35
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB346F-168D",variation, Res Majestic Flush 3R Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB346F-168D,S_WMB354F-120MD.jpg,"48""Hx168""W Res Majestic Flush 3R Montage Double Gate Black",11274,"48""Hx168""W ",,,,,,830.98
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB346F-192D",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB346F-192D,S_WMB354F-120MD.jpg,"48""Hx192""W Majestic Flush 3 Rail Montage Double Gate Black",11275,"48""Hx192""W ",,,,,,884.26
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB346F-120MD",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB346F-120MD,S_WMB354F-120MD.jpg,"48""Hx120""W Majestic Flush 3 Rail Montage Double Gate Black",11276,"48""Hx120""W ",,,,,,882.19
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB346F-84MD",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB346F-84MD,S_WMB354F-120MD.jpg,"48""Hx84""W Majestic Flush 3 Rail Montage Double Gate Black",11277,"48""Hx84""W ",,,,,,677.75
,,"Ornamental Steel 3 Rail Double Gate - Ameristar Montage Majestic - Black, WMB346F-96MD",variation, Majestic Flush 3 Rail Montage Double Gate Black,S_WMB354F-120MD.jpg,,WMB346F-96MD,S_WMB354F-120MD.jpg,"48""Hx96""W Majestic Flush 3 Rail Montage Double Gate Black",11278,"48""Hx96""W ",,,,,,679.9
